#All info
#Other info
probeset_id	Indiv1	Indiv2	Indiv3	Indiv4	Indiv5	Indiv6	Indiv7	Indiv8	Indiv9	Indiv10	Indiv11	Indiv12	Indiv13	Indiv14	Indiv15	Indiv16	Indiv17	Indiv18	Indiv19	Indiv20	Indiv21	Indiv22	Indiv23	Indiv24	Indiv25	Indiv26	Indiv27	Indiv28	Indiv29	Indiv30	Indiv31	Indiv32	Indiv33	Indiv34	Indiv35	Indiv36	Indiv37	Indiv38	Indiv39	Indiv40	Indiv41	Indiv42	Indiv43	Indiv44	Indiv45	Indiv46	Indiv47	Indiv48	Indiv49	Indiv50	Indiv51	Indiv52	Indiv53	Indiv54	Indiv55	Indiv56	Indiv57	Indiv58	Indiv59	Indiv60	Indiv61	Indiv62	Indiv63	Indiv64	Indiv65	Indiv66	Indiv67	Indiv68	Indiv69	Indiv70	Indiv71	Indiv72	Indiv73	Indiv74	Indiv75	Indiv76	Indiv77	Indiv78	Indiv79	Indiv80	Indiv81	Indiv82	Indiv83	Indiv84	Indiv85	Indiv86	Indiv87	Indiv88	Indiv89	Indiv90	Indiv91	Indiv92	Indiv93	Indiv94	Indiv95	Indiv96	Indiv97	Indiv98	Indiv99	Indiv100
Marker_6-A	69.259	5129.332	979.806	1049.121	2269.342	1427.606	832.151	50.995	851.453	2497.951	1167.673	828.094	2531.656	86.015	1776.495	693.849	4779.279	8664.992	164.691	318.34	4507.444	5721.701	208.315	1189.643	2522.659	3821.248	77.199	2436.912	130.86	420.132	2604.427	1398.161	71.233	1984.434	1366.605	6396.601	1446.757	317.074	523.096	1122.899	118.58	2443.857	9061.701	1759.731	901.391	2692.479	2774.648	435.267	963.184	1729.124	1242.436	2285.588	19.601	1521.854	1821.056	111.781	1213.369	779.378	1376.063	3735.861	2459.42	4223.58	1261.509	778.801	1073.275	3087.618	1811.214	497.647	150.894	1111.279	1851.886	2205.541	935.305	1522.081	2091.466	282.97	270.577	442.465	341.902	192.246	3357.684	713.264	8748.557	3021.733	8282.928	1059.869	1437.151	129.639	279.569	1283.365	1709.17	1424.795	2970.964	1923.499	4000.492	774.273	151.823	258.127	427.7	3409.004
Marker_6-B	286.366	1283.529	505.197	270.079	3752.133	2733.327	3492.846	206.108	214.13	631.584	298.434	214.805	10761.4	365.648	2952.773	2968.197	2670.348	2284.634	708.999	185.051	7662.92	10083.261	359.222	2000.925	1464.392	7246.965	149.492	1298.996	550.23	771.379	1640.742	846.174	303.522	998.599	5914.812	4286.75	384.138	71.931	133.254	281.049	543.351	1350.991	1986.773	1093.082	3809.727	697.526	704.696	1686.535	214.427	3332.851	692.914	1395.583	85.444	2447.841	1034.192	380.688	717.977	2925.276	5911.403	2079.684	4565.912	2249.191	4751.895	437.859	1778.634	5302.942	1085.594	1927.737	579.216	293.294	479.433	565.043	239.055	981.51	517.288	63.896	1176.197	122.143	1371.761	104.109	6400.837	2792.189	5348.013	1931.811	4053.081	609.112	327.985	488.275	967.88	2053.136	1023.494	786.679	1779.423	1158.663	944.378	436.603	575.719	1061.128	1725.382	2318.749
Marker_7-A	485.535	2777.422	2147.047	171.989	966.993	85.563	1965.58	646.397	1487.317	593.955	3105.049	788.71	3154.066	1811.513	586.518	2069.964	2950.593	1006.215	52.769	2498.529	1289.486	916.477	316.616	2990.827	3093.458	121.331	3663.906	801.323	3592.06	1185.558	333.174	701.688	698.617	320.759	4894.132	2560.008	2310.232	804.51	2084.649	802.936	308.967	1141.914	200.555	3393.522	4936.136	424.298	753.459	2647.001	5812.298	431.243	3811.304	2208.32	1216.16	600.422	355.099	1026.129	1766.776	698.303	448.2	183.456	663.528	308.461	4153.55	2765.297	255.412	454.489	965.24	1244.148	2309.426	12597.417	802.379	3420.127	102.32	572.724	1440.299	85.956	1672.127	1250.549	1089.433	3370.489	142.282	799.682	335.326	769.513	2228.152	517.005	1209.928	2430.068	2061.464	62.755	9799.808	409.805	975.907	568.28	221.957	4248.517	3099.21	1397.697	8549.933	209.696
Marker_7-B	116.651	1539.318	584.678	662.312	1575.651	370.788	3455.791	2735.344	398.996	135.305	1689.648	482.649	757.047	3108.955	2293.965	3754.389	1784.355	1626.515	198.541	1292.546	321.755	1381.733	1169.112	1684.268	835.905	27.172	5767.039	468.491	6626.797	2172.251	75.816	1242.819	180.943	1318.244	8121.516	10850.142	1191.147	193.972	534.436	3190.774	1197.037	311.34	49.697	5877.907	2747.725	107.311	2926.375	1509.64	3194.592	1674.785	2419.151	564.823	1860.6	2629.569	1398.072	1669.351	433.383	188.294	1557.538	707.219	2578.591	502.591	2348.716	1687.618	938.432	98.351	572.529	808.714	4095.584	7493.397	219.462	1763.61	424.058	141.387	998.933	311.356	998.875	2106.13	4574.736	850.255	528.33	1261.894	80.036	2942.35	528.98	2123.68	5130.393	4219.749	1188.513	261.365	5920.753	739.199	1734.91	964.024	904.018	2461.412	748.803	2540.037	4863.877	401.92
Marker_8-A	396.413	631.335	5130.225	829.445	1487.495	1266.582	6660.527	1076.657	147.398	4922.842	63.413	7863.512	3835.065	1134.783	3131.241	2205.265	2288.104	833.429	9749.724	1313.473	1676.115	3108.424	4239.608	910.709	6871.869	7906.229	1390.786	1171.189	366.109	1857.512	792.205	311.623	1489.224	11180.351	432.777	3032.046	1597.786	620.18	1052.326	247.142	357.774	3469.594	8107.665	8053.34	18399.114	1094.329	2397.147	5226.17	528.312	126.129	1738.077	740.603	649.522	901.72	10704.556	97.517	3849.379	642.315	7478.679	7096.717	2263.131	733.56	2120.792	4556.429	773.709	539.812	663.406	11904.648	6905.67	126.298	1863.931	315.414	5152.128	29935.53	1102.614	2908.824	224.161	1534.168	10635.787	600.617	699.61	1678.04	467.516	1633.717	1370.338	4710.774	11809.887	7289.185	273.617	1457.089	37.122	284.539	820.657	177.604	493.078	313.156	5132.468	288.508	7455.436	7087.805
Marker_8-B	1611.097	341.39	2738.042	2997.361	811.898	335.841	3614.593	296.033	554.212	3190.35	262.929	4345.752	6815.31	666.924	1747.245	1256.15	576.466	3551.973	2309.255	2375.56	6872.606	5245.397	2892.245	3469.859	4035.502	1866.249	341.967	2127.149	1541.963	2944.848	196.665	592.375	883.293	6523.644	242.315	1596.812	2655.333	1134.16	4319.313	63.926	1520.444	5706.699	4869.511	4527.665	10373.928	1985.96	1269.297	7519.84	138.883	36.524	3252.835	415.306	161.753	1609.711	5299.961	375.825	6938.725	1028.412	4480.162	11405.022	1171.254	3027.707	1269.279	6867.774	1414.878	124.348	151.446	20321.911	12740.19	29.644	497.529	1229.084	1212.484	16741.296	1801.523	4891.579	402.847	2848.375	18287.332	158.642	439.979	2948.87	1870.534	394.052	2275.235	2529.507	6719.589	11827.018	59.398	833.421	139.215	1195.167	1498.219	46.508	2109.78	1270.246	8426.838	73.242	12468.08	3783.294
Marker_9-A	10416.357	2390.874	1837.92	1152.734	1003.153	267.655	290.935	2281.297	4941.27	162.949	50.307	2494.495	2102.26	3514.515	8382.31	321.52	543.208	7357.106	783.573	5942.756	927.087	132.252	119.848	2229.52	60.357	138.104	10279.273	3330.94	3515.361	29.936	4739.982	96.884	1240.985	203.223	4995.243	316.125	1380.993	548.872	97.746	3446.271	196.292	1575.299	2169.528	2556.087	162.413	280.884	1030.74	1214.078	8704.263	295.637	5890.256	759.849	862.124	356.146	6987.934	1515.081	2356.903	30921.778	2172.496	1819.088	2400.537	617.402	2756.268	1360.039	6751.347	5207.203	4323.003	827.005	27.494	92.11	9405.685	121.584	3920.503	1318.711	19473.592	10952.397	1304.255	209.948	3043.826	195.814	368.641	193.019	127.246	5443.441	7042.89	1023.017	332.631	990.456	1934.197	2369.754	146.044	572.968	3587.688	306.622	944.635	335.911	162.8	2031.31	4759.744	2069.676
Marker_9-B	19809.33	9374.591	1108.288	266.273	260.369	68.399	190.522	3802.054	2965.17	300.279	182.676	4662.875	3727.884	2250.13	4945.109	1256.445	134.57	4464.469	1478.121	1605.516	501.697	31.467	487.668	531.762	14.233	547.691	5807.272	5203.187	1808.88	133.453	3084.171	346.796	748.419	787.37	8614.483	1345.365	783.488	1029.084	399.725	815.563	301.859	5956.976	597.496	1653.859	661.382	1185.701	268.406	2291.991	4629.746	1208.413	3587.751	1306.472	1550.359	1423.726	4345.124	2575.413	10366.922	59213.875	1343.095	419.717	1448.753	160.288	4559.106	348.977	1569.92	2840.92	8196.976	1634.452	115.446	331.759	16058.025	498.751	6533.932	745.314	11744.855	19575.911	793.465	754.448	5856.069	824.784	1453.006	116.09	476.156	8945.911	11582.073	287.236	1397.799	1829.251	3414.058	10012.995	550.89	145.5	1897.72	533.074	1729.86	1318.88	718.867	490.646	8007.133	8239.972
Marker_10-A	830.058	117.384	2254.265	3112.526	1601.484	2244.935	197.109	4632.442	4803.83	1643.142	403.855	2440.914	197.245	406.824	157.324	329.217	514.581	2573.457	1180.25	1138.008	908.123	6988.129	2147.222	1375.577	3895.763	4718.577	1787.756	854.158	195.83	598.612	7332.525	730.995	625.641	4077.488	599.625	1196.542	1836.572	18050.598	2415.693	947.85	624.933	1116.859	871.657	530.642	111.646	7226.626	430.189	3519.402	406.252	1653.742	643.503	2095.647	1825.332	275.009	75.277	658.219	168.352	2727.908	867.597	2112.799	273.253	264.108	2905.413	2245.602	424.041	522.486	2484.373	576.593	4825.143	212.454	2237.309	1349.518	1144.858	217.564	313.855	165.908	3548.556	785.732	1233.321	16315.191	1116.571	1812.802	1287.387	1136.729	297.897	2223.812	48.767	460.932	450.066	1224.893	355.684	1007.494	230.525	1874.592	166.557	2178.324	1064.174	442.587	24.003	114.023
Marker_10-B	3500.998	501.226	1197.042	1925.176	371.852	1469.706	51.346	2570.926	2621.688	966.02	106.581	590.513	773.988	1557.735	719.141	89.505	1863.325	1510.2	731.992	304.609	1657.785	12234.115	3634.82	783.855	7112.395	2581.691	434.388	214.435	836.388	2501.736	4338.841	200.144	181.277	2030.571	959.637	2000.473	1000.147	10380.583	1433.563	4141.674	176.463	633.601	523.685	145.721	412.051	12851.787	215.435	2178.547	98.764	911.32	153.522	3552.527	444.891	71.926	131.9	1127.945	629.97	4628.507	518.251	3703.371	999.754	1021.177	638.41	617.113	1651.024	1978.201	606.618	132.874	2667.037	789.5	3509.8	767.443	653.275	353.287	1197.785	36.737	818.463	1331.925	2037.416	26030.325	1993.467	1004.182	772.763	280.539	1171.113	539.024	202.527	1780.122	261.106	677.821	86.063	615.192	55.711	3058.116	566.657	508.12	1926.7	256.747	108.58	458.367
